"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA"
89.3,93.5,"Turonian","Late Cretaceous","Cretaceous",380,-2.1727,2.7866,0.70735,18.652,0.039,0.061,0.045,0.039,0.061,0.045,1.34588235294118,0.50582959151141,459,-4.22697826086956,0.65251733051987,460,3.51933333333333,19.0465669166667,2.93,0.196129209,4,-1.885,0.267145404,4,18.85,0.278388218,3,0.707349565,0.000111389,23,0.711360285298103,-0.538318083246551,0.193607502177879,1,1,0,0
93.5,99.6,"Cenomanian","Late Cretaceous","Cretaceous",468.5,-2.34185,2.5935,0.70739,18.488,0.056,0.071,0.067,0.056,0.071,0.067,1.93185784313726,0.762298846921345,259.5,-3.18348913043478,0.779519917422377,260,-1.85866666666667,18.3602279033333,2.376391304,0.909953051,46,-2.499130435,0.458276123,46,18.82714286,0.451948164,7,0.70743456,6.89e-05,25,0.166889893841455,-1.10272843238111,0.128391840026904,1,1,0,1
99.6,112,"Albian","Early Cretaceous","Cretaceous",549,-2.4674,2.0696,0.70742,15.898,0.136,0.123,0.136,0.136,0.123,0.136,1.88425196850394,0.909331273287919,127,-1.77149606299213,1.04241864570857,127,-4.93833333333333,15.0277040686667,2.057623188,0.472684234,69,-2.479130435,0.582185889,69,15.77708333,0.663771792,12,0.707422641,5.6e-05,78,-0.138605922702726,-1.01051592671941,-2.98318840071617,1,0,0,0
112,125,"Aptian","Early Cretaceous","Cretaceous",75,0.046936,3.3294,0.7073,16.236,0.091,0.076,0.089,0.091,0.076,0.089,3.33380952380952,1.60828006326783,21,-0.699130434782609,1.224169154397,23,-7.62933333333333,9.10047477866667,3.357142857,0.722742792,7,0.159285714,0.304089194,7,16.17928571,1.365935657,14,0.707299289,7.4e-05,21,1.18789350256812,1.77469285674046,-2.70604451468571,1,1,0,1
125,130,"Barremian","Early Cretaceous","Cretaceous",30,0.07816,0.21614,0.70747,17.375,0.023,0.01,0.0515,0.023,0.01,0.089,1.16410625,0.959247127456225,160,-0.50434375,0.610551715103674,160,-3.21366666666667,7.270364953,0.011666667,1.332741035,6,0.084,0.340174661,6,17.931,2.413261279,5,0.707475433,3.02e-05,45,-2.12929745908341,1.85330264660967,-1.08543993610539,0,0,0,0
130,136.4,"Hauterivian","Early Cretaceous","Cretaceous",98,-0.312805,-0.3672855,0.70738,17.065,0.013,0,0.015,0.013,0,0.015,0.573384949763847,0.896586995331184,156.5,0.0707585827251976,0.492067892340965,156.5,-1.18333333333333,6.98073055233333,0.071363636,0.441364717,22,-0.087727273,0.358660628,22,16.79272727,1.514655676,11,0.707422829,3.13e-05,17,-2.05872155610323,1.74076595202091,-2.27413947818988,1,0,0,0
136.4,140.2,"Valanginian","Early Cretaceous","Cretaceous",143,-0.52317,-0.81397,0.70734,16.986,0.076,0.047,0.052,0.076,0.047,0.052,0.355874015748032,1.03269497765388,254,-0.0455256916996047,0.525951613302716,253,-1.60833333333333,6.002626055,-0.772,1.050878544,15,-0.498,0.39753167,15,17.9,4.424025316,6,0.70733668,7.79e-05,18,-2.8881601566086,1.40625716538729,-1.23141306765803,1,1,0,1
140.2,145.5,"Berriasian","Early Cretaceous","Cretaceous",29,-0.52317,-0.81397,0.70729,16.637,0.03,0.064,0.033,0.03,0.064,0.033,-0.0541206896551724,1.20406672131946,58,-0.734155172413793,0.934747377482076,58,2.52033333333333,9.087259724,NA,NA,0,NA,NA,0,13,NA,1,0.707293751,3.17e-05,4,NA,NA,-6.16973744484224,1,0,0,0
145.5,150.8,"Tithonian","Late Jurassic","Jurassic",54,-2.1456,1.6692,0.70708,16.315,0.102,0.176,0.078,0.102,0.176,0.123,0.394701923076923,0.820688260527187,104,-1.36962857142857,0.549832513959109,105,3.44,13.0456548693333,NA,NA,0,NA,NA,0,NA,NA,0,0.707087266,0.000128809,74,NA,NA,NA,1,1,1,0
150.8,155.7,"Kimmeridgian","Late Jurassic","Jurassic",45.5,-1.6826,1.77075,0.706875,16.0735,0.052,0.057,0.057,0.052,0.057,0.057,0.937011320754717,1.43060540525591,61.5,-1.03009298493409,0.98891600428904,65.5,0.162,13.7028011483333,1.36,NA,1,-2.11,NA,1,16,NA,1,0.706893779,7.37e-05,33,-0.724828826745678,-0.0352739687883512,-3.27664228646136,1,0,0,0
155.7,161.2,"Oxfordian","Late Jurassic","Jurassic",38,-1.2196,1.8723,0.70686,16.154,0.056,0.036,0.082,0.056,0.036,0.082,1.2994,1.2589776666873,70,-0.828694444444444,1.17570491457929,72,-3.714,10.4148928493333,2.0025,1.09118819,4,-0.95745,1.1125827,4,15.4,NA,1,0.706866871,3.47e-05,31,-0.0716674714451017,1.17528279805466,-3.92606056230417,0,0,0,0
