Binned_top,Binned_bottom,Binned_stage,Binned_epoch,Binned_period,mean_d13C,stdev_d13C,N_d13C,mean_d18O,stdev_d18O,N_d18O,mean_d34S,stdev_d34S,N_d34S,mean_87Sr.86Sr,stdev_87Sr.86Sr,N_87Sr.86Sr,data_subset
426.2,428.2,Sheinwoodian,Wenlock,Silurian,3.328874172,1.363716756,151,-4.927748344,0.59576189,151,25.95,6.293250353,2,0.708372337,5.15E-05,61,All
428.2,436,Telychian,Llandovery,Silurian,1.284476744,0.664585687,86,-5.257906977,0.558021961,86,27.24,2.679178979,5,0.70824117,9.65E-05,50,All
436,439,Aeronian,Llandovery,Silurian,1.3272,1.486473792,25,-4.2596,0.646802907,25,29.64,3.326108838,5,0.708067313,4.40E-05,13,All
439,443.7,Rhuddanian,Llandovery,Silurian,0.9575,0.390665387,28,-4.299642857,0.596803101,28,28.6,3.0757113,4,0.70800279,9.06E-05,5,All
443.7,445.6,Hirnantian,Late Ordovician,Ordovician,2.534867257,2.493001316,113,-3.502654867,1.175588772,113,14.5,NA,1,0.707962627,0.000158546,33,All
445.6,455.8,Katian,Late Ordovician,Ordovician,0.430680473,0.803287319,169,-4.89797619,0.826616768,168,24.6,4.745524207,5,0.707928098,0.000124484,72,All
455.8,460.9,Sandbian,Late Ordovician,Ordovician,-0.378795918,0.738439514,49,-5.194877551,0.732984244,49,24.83333333,2.281081615,3,0.708103198,0.00018332,38,All
460.9,468.1,Darriwillian,Middle Ordovician,Ordovician,-0.393333333,0.714878014,30,-6.817333333,0.918713243,30,23.9,6.929646456,2,0.708524723,0.00033991,25,All
468.1,471.8,Dapingian,Middle Ordovician,Ordovician,-1.989411765,0.949588533,17,-7.58,1.095433704,17,27.9,NA,1,0.709005234,0.000306997,13,All
471.8,478.6,Floian,Early Ordovician,Ordovician,-1.13647561,0.654683681,82,-7.838780488,1.393898388,82,28.86666667,2.742869544,3,0.708886399,0.000149216,74,All
478.6,488.3,Tremadocian,Early Ordovician,Ordovician,-1.419705882,0.675204762,17,-9.547235294,0.833171616,17,27.3,5.716642371,3,0.709013117,0.000119455,123,All
488.3,501,Pabian,Furongian,Cambrian,NA,NA,0,NA,NA,0,33.26,3.233883115,5,0.709100726,6.29E-05,58,All
0,1.81,Pleistocene-Holocene,Pleistocene-Holocene,Neogene,1.115432401,1.069811932,19,1.035978085,1.823100097,30,21.28357143,0.431236949,4,0.70914313,2.98E-05,284,no benthics
1.81,2.59,Gelasian,Late Pliocene,Neogene,1.556666667,0.596845876,9,-0.595714286,1.003358645,7,22.015,0.007071068,2,0.709072394,1.59E-05,71,no benthics
2.59,3.6,Piacenzian,Early Pliocene,Neogene,1.821111111,0.595639246,9,-1.01,1.104753366,6,NA,NA,0,0.709052244,2.17E-05,78,no benthics
3.6,5.33,Zanclean,Early Pliocene,Neogene,2.056,0.452890134,20,-0.8545,1.094437972,20,21.86666667,0.338427737,3,0.709021339,3.21E-05,233,no benthics
5.33,7.25,Messinian,Late Miocene,Neogene,1.989230769,0.685023863,13,-0.503846154,1.015971444,39,22.06,0.291976026,5,0.708954376,2.44E-05,101,no benthics
7.25,11.61,Tortonian,Late Miocene,Neogene,1.835333333,0.309628041,15,-0.403947368,1.089166653,38,22.03090909,0.162015712,11,0.708922784,4.22E-05,97,no benthics
11.61,13.65,Serravallian,Middle Miocene,Neogene,2.053703704,0.440001271,54,-0.207073171,0.844421765,82,22.1495,0.311880052,10,0.708832667,5.06E-05,132,no benthics
13.65,15.97,Langhian,Middle Miocene,Neogene,2.413636364,0.359212703,22,-0.589210526,0.944930661,38,21.9825,0.152027958,2,0.708775957,4.50E-05,70,no benthics
15.97,20.43,Burdigalian,Early Miocene,Neogene,2.629166667,0.24835672,12,-0.444313725,0.879454956,51,21.8175,0.191898411,4,0.708559312,0.000124064,186,no benthics
20.43,23.03,Aquitanian,Early Miocene,Neogene,2.230909091,0.915677782,22,-0.485714286,0.796744426,35,21.95,0.070710678,2,0.708306298,6.06E-05,47,no benthics
23.03,28.4,Chattian,Late Oligocene,Paleogene,1.1035,0.76917042,60,0.208235294,1.066623829,68,21.59952381,0.211296075,7,0.708148517,9.30E-05,87,no benthics
28.4,33.9,Rupelian,Early Oligocene,Paleogene,1.148360656,0.744994811,61,0.823690476,0.941654248,84,21.698,0.221743095,5,0.707927712,6.31E-05,66,no benthics
33.9,37.2,Priabonian,Late Eocene,Paleogene,1.608157895,0.61618642,38,0.453617021,0.820170782,47,22.1085,0.399812803,10,0.707778375,5.43E-05,8,no benthics
