Study ID,Effect,Coder,Biblio info,,,,Selectivity info,,,,,,,,Odds ratio,,Log odds ratio,,Raw numbers,,,,Proportions,,,Computing d in designs with indpt groups,,,,,,,,,,,,,,,Computing d in designs with paired groups,,,,,,,,,,,,,,,Computing d in designs with indpt groups using ANCOVA,,,,,,,,,,,,,,,,,,,,,,,Computing r w/ indpt grps,,,,,,,,,Extinction info,,,,,Ratio survive/extinct,Notes,Chi Square,,,,,,,Extinction Rate,,,,,GLM,,,,,Mean Species Duration/Longevity,,,,
Jablonski1995SEC,2,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Life Habit,Epifaunal,K/T,global,Jablonski global database,,,,,53,46,167,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,"31% (n = 36), whereas survivorship among genera of <4 cm",,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,3,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Feeding Mode,Suspension,K/T,global,Jablonski global database,,,,,153,97,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,"is 41% (n = 160) (0.01 < P < 0.05, binomial proportions test)",,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,4,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Feeding Mode,Deposit,K/T,global,Jablonski global database,,,,,12,28,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,"(D.J., unpublished data).",,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,1,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Env Distribution,Near shore-middle shelf,K/T,global,Jablonski global database,,,,,32,30,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,For the following 4 effect sizes an important figure is in MetaFigure Document explaining the shelf distributions/ bathymetric data,,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,2,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Env Distribution,Inner-outer shelf,K/T,global,Jablonski global database,,,,,20,10,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,3,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Env Distribution,Inner-middle shelf,K/T,global,Jablonski global database,,,,,64,63,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1995SEC,4,EO,"Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.",Jablonski and Raup 1995,1995,PR,Mollusca,bivalve,gn,Env Distribution,Entire shelf,K/T,global,Jablonski global database,,,,,30,21,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Simpson2009ARA,1,EO,"Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.",Simpson and Harnik 2009,2009,PR,Mollusca,bivalve,gn,Relative Abundance,,Induan-Gelasian,global,Pbdb (1631 collections used),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mz,,global,bolide,,need to EMAIL AUTHORS,,,,,,,,,,,,,,,,,,,,,,
Smith2006SDB,1,EO,"Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.",Smith and Roy 2006,2006,PR,Mollusca,Pectinidae,sp,Body Size ,Small,Late Plioscene-Pleistocene,global,database,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cz,,global,,,need to EMAIL AUTHORS about figure 6É ,,,,,,,,,,,,,,,,,,,,,,
Smith2006SDB,2,EO,"Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.",Smith and Roy 2006,2006,PR,Mollusca,Pectinidae,sp,Body Size,Moderately small,Late Plioscene-Pleistocene,global,database,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cz,,global,,,need to EMAIL AUTHORS,,,,,,,,,,,,,,,,,,,,,,
Smith2006SDB,3,EO,"Smith, Travis J. and Kaustav Roy. 2006. Selectivity during background extinction: Plio-Pleistocene scallops in California. Paleobiology 32: 408-416.",Smith and Roy 2006,2006,PR,Mollusca,Pectinidae,sp,Body Size,Large,Late Plioscene-Pleistocene,global,database,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cz,,global,,,need to EMAIL AUTHORS,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,1,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Larval Type,Planktotroph,K/T,global,,,,,,17,11,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,2,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Larval Type,Nonplanktotroph,K/T,global,Jablonski global database,,,,,14,9,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mass,Mz,1-2MY,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,1,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,bivalves,gn,Geographic Range,Endemic,K/T,global,Jablonski global database,,,,,21,2,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,2,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,bivalves,gn,Geographic Range,Cosmospolitan,K/T,global,Jablonski global database,,,,,42,51,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,1,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Geographic Range,Endemic,K/T,global,Jablonski global database,,,,,46,7,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,2,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Geographic Range,Cosmospolitan,K/T,global,Jablonski global database,,,,,49,54,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,1,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,bivalve,gn,Species Richness,Species-Rich,K/T,Coastal Plain,,,,,,25,22,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,2,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,bivalve,gn,Species Richness,Species-Poor,K/T,Coastal Plain,,,,,,38,31,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,1,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Species Richness,Species-Rich,K/T,Coastal Plain,,,,,,48,20,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski1986BME,2,EO,"Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.",Jablonski 1986,1986,PR,Mollusca,gastropod,gn,Species Richness,Species-Poor,K/T,Coastal Plain,,,,,,47,41,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski 1989 TBM,1,EO,"Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.",Jablonski 1989,1989,PR,Mollusca,bivalve,gn,Species Richness,Species-poor,K/T,global,Hoffman 1986 data,,,,,24,27,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,The Hoffman data was re-analyzed by Jablonski,,,,,,,,,,,,,,,,,,,,,,
Jablonski 1989 TBM,2,EO,"Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.",Jablonski 1989,1989,PR,Mollusca,bivalve,gn,Species Richness,Species-rich,K/T,global,Hoffman 1986 data,,,,,20,29,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski 1989 TBM,1,EO,"Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.",Jablonski 1989,1989,PR,Mollusca,gastropod,gn,Species Richness,Species-poor,K/T,global,Hoffman 1986 data,,,,,19,63,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
Jablonski 1989 TBM,2,EO,"Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.",Jablonski 1989,1989,PR,Mollusca,gastropod,gn,Species Richness,Species-rich,K/T,global,Hoffman 1986 data,,,,,9,31,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Mz,,global,bolide,,,,,,,,,,,,,,,,,,,,,,,,
