"Binned_top","Binned_bottom","Binned_stage","mean_d13C","stdev_d13C","d13C_N","mean_d18O","stdev_d18O","d18O_N","data_subset"
"96",83.5,85.8,"Santonian",1.60666666666667,0.275952894530933,9,-3.99555555555556,0.182832649649284,9,"Tropical"
"97",85.8,88.6,"Coniacian?",1.49532110091743,0.332074201902447,109,-4.02321100917431,0.394646772992294,109,"Tropical"
"98",88.6,93.6,"Turonian?",1.27967741935484,0.405345787544041,434,-4.343133640553,0.386255603033713,434,"Tropical"
"99",93.6,99.6,"Cenomanian",2.36425,0.939737790761133,40,-2.4695,0.465463375407941,40,"Tropical"
"100",99.6,112,"Albian",2.04388888888889,0.446376824186224,72,-2.53416666666667,0.526208200641662,72,"Tropical"
"101",112,125,"Aptian",3.24444444444444,0.687315631844481,9,-0.153333333333333,0.77244740921308,9,"Tropical"
"102",125,130,"Barremian",0.0133333333333333,1.33185084249951,6,0.085,0.341159786610321,6,"Tropical"
"103",130,133.9,"Hauterivian?",0.043125,0.442518831990986,16,-0.2875,0.273946466789894,16,"Tropical"
"104",133.9,140.2,"Valanginian?",-0.0626605504587156,1.04781487109006,109,-0.125871559633028,0.331512278441885,109,"Tropical"
"105",140.2,145.5,"Berriasian",-1.0747619047619,0.812684557793607,21,-0.16952380952381,0.233376866687257,21,"Tropical"
"106",150.8,155.6,"Kimmeridgian?",1.36,NA,1,-2.11,NA,1,"Tropical"
"107",155.6,161.2,"Oxfordian?",2.8,0.565685424949238,2,-1.615,1.1667261889578,2,"Tropical"
"108",164.7,167.7,"Bathonian",0.739268292682927,0.769211902676702,41,-1.22268292682927,0.583339628305175,41,"Tropical"
"109",167.7,171.6,"Bajocian",1.15636363636364,0.876952367318462,11,-2.38363636363636,0.973635175281509,11,"Tropical"
"110",171.6,175.7,"Aalenian?",0.04,NA,1,-1.58,NA,1,"Tropical"
"111",175.7,183,"Toarcian?",0.863698630136986,0.967559224212765,73,-2.50493150684931,0.705191312276462,73,"Tropical"
"112",183,189.6,"Pliensbachian",1.28792207792208,0.711664723067529,77,-1.05943231441048,0.808803063556182,229,"Tropical"
"113",189.6,196.5,"Sinemurian",0.430588235294118,0.650244863380666,17,-1.39218181818182,0.533901402012307,55,"Tropical"
"114",199.6,216.5,"Norian-Rhaetian",1.64161290322581,0.521964856889769,31,-1.73903225806452,0.600140843684268,31,"Tropical"
"115",216.5,228.7,"Carnian",3.48,NA,1,-2,NA,1,"Tropical"
"116",228.7,237,"Ladinian",3.03538461538462,0.68350815709084,39,-2.52974358974359,1.05741115635133,39,"Tropical"
"117",237,245.9,"Anisian",0.741794871794872,0.643051409072285,39,-4.01923076923077,1.63297820370181,39,"Tropical"
"118",245.9,251,"Induan-Olenekian?",0.583333333333333,0.361155552820849,3,-6.4,2.01285866369201,3,"Tropical"
"119",251,260.4,"Wuchiapingian-Changhsingian",3.59821428571429,0.966218492165812,28,-2.97857142857143,0.440435090317596,28,"Tropical"
