"Study ID","Effect","Coder","Biblio info",,,,"Selectivity info",,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,"Ratio survive/extinct","Notes","Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,
,"#",,"Full citation","In-text Citation","Year","Type","Phylum","Bivalve/ Gastropod","Taxon","Tax level","Aggregate Trait","Trait","Trait category","Aggregate Age/ Event","Age/ Event","Location","Data source","Odds Ratio","Var Odds Ratio","Log odds ratio","Var Lnor","# Ext","# Surv","Total # Ext","Total # Surv","Genera","Victims","Log-odds","C.I. (95%)","Prop ext","Prop surv","Total # sp","Test","N","mean g. 1","mean g. 2","sd g. 1","sd g. 2","Test Statistic","df","P","Y1","Y2","Spool","n1","n2","t","n1","n2","F","n1","n2","p","1 or 2","n1","n2","Y1","Y2","Sdiff","r","n","t","r","n","F","r","n","p","1 or 2","r","n","Y1","Y2","Spool","n1","n2","R","q","t","n1","n2","R","q","F","n1","n2","R","q","p","1 or 2","n1","n2","R","q","r","n","t","n","t","r","p","1 or 2","r","Magnitude","Era","Duration","Geo scope","Cause",,,"x-square","n","df","p (sur/extinct)","% group a extinct","% group b extinct","p (before/after)","n","per-capita extinct/orig",,,,"coefficient","d.f.","p","Note",,"Test type","Trait Type Species Total ","Mean Duration","p","z"
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Middle Jurassic","Middle Jurassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,23,22,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Middle Jurassic","Middle Jurassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,13,40,22,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Early Jurassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,59,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Early Jurassic","Early Jurassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,20,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Early Jurassic","Early Jurassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,22,42,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Late Triassic","Late Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,17,47,84,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Late Triassic","Late Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,16,25,84,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Late Triassic","Late Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,51,57,84,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Middle Triassic","Middle Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,32,10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Middle Triassic","Middle Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,10,10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Middle Triassic","Middle Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,10,22,10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Triassic","Early Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,24,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Early Triassic","Early Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,9,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Early Triassic","Early Triassic","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,6,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","P/TR","P/TR","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,21,30,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","P/TR","P/TR","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,13,16,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","P/TR","P/TR","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,20,66,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Permian","Early Permian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,4,34,24,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Early Permian","Early Permian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,18,24,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Early Permian","Early Permian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,15,33,24,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Late Pennsylvanian","Late Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,27,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Late Pennsylvanian","Late Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,6,19,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Late Pennsylvanian","Late Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,9,12,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,27,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,19,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Early Pennsylvanian","Early Pennsylvanian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,8,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,26,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,2,16,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Late Mississippian","Late Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,4,8,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,25,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,3,14,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Early Mississippian","Early Mississippian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,7,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,5,17,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,8,16,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Late Devonian","Late Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,17,19,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,0,16,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",2,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Wide-Ranging","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,7,21,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",3,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Middle Devonian","Middle Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,12,25,19,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretsky 1973 EPP",1,"EO","Bretsky, Peter W. 1973. Evolutionary patterns in the Paleozoic Bivalvia: Documentation and Some Theoretical Considerations. The Geological Society of America Bulletin 84: 2079-2096.","Bretsky 1973",1973,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Early Devonian","Early Devonian","global","Treatise on Ivertebrate Paleontology 1969 vol. 1 & 2",,,,,1,17,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pz",,,,,,,,,,,,,,,,,,,,,,,,,,,
