,,,,"Biblio info",,,,"Selectivity info",,,,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Percent Extinction",,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,,,,,"Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,,"Additional Stats",,,,,
231,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Pliensbachian","Pliensbachian","Early Jurassic","Late Pliensbachian","South America",,,,,,9,33,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Pliensbachian","Pliensbachian","Early Jurassic","Late Pliensbachian","South America",,,,,,23,19,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Pliensbachian","Pliensbachian","Early Jurassic","Late Pliensbachian","South America",,,,,,9,42,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Toarcian","Toarcian","Early Jurassic","Early Toarcian","South America",,,,,,12,17,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Toarcian","Toarcian","Early Jurassic","Early Toarcian","South America",,,,,,12,19,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Toarcian","Toarcian","Early Jurassic","Early Toarcian","South America",,,,,,14,6,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Toarcian","Toarcian","Early Jurassic","Early Toarcian","South America",,,,,,10,30,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Toarcian","Toarcian","Early Jurassic","Middle Toarcian","South America",,,,,,3,16,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Toarcian","Toarcian","Early Jurassic","Middle Toarcian","South America",,,,,,3,18,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Toarcian","Toarcian","Early Jurassic","Middle Toarcian","South America",,,,,,2,7,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Toarcian","Toarcian","Early Jurassic","Middle Toarcian","South America",,,,,,4,27,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Toarcian","Toarcian","Early Jurassic","Late Toarcian","South America",,,,,,4,14,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Toarcian","Toarcian","Early Jurassic","Late Toarcian","South America",,,,,,2,18,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Toarcian","Toarcian","Early Jurassic","Late Toarcian","South America",,,,,,4,6,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Toarcian","Toarcian","Early Jurassic","Late Toarcian","South America",,,,,,2,26,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Aalenian","Aalenian","Middle Jurassic","Aalenian","South America",,,,,,"NA",24,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Aalenian","Aalenian","Middle Jurassic","Aalenian","South America",,,,,,"NA",18,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Aalenian","Aalenian","Middle Jurassic","Aalenian","South America",,,,,,"NA",15,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Aalenian","Aalenian","Middle Jurassic","Aalenian","South America",,,,,,"NA",27,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,"Jablonski 1986a CCM",1,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species poor","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,47,41,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"Jablonski 1986a CCM",2,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species rich ","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,48,20,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"Jablonski 1986a CCM",1,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species rich ","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,38,31,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Jablonski 1986a CCM",2,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species rich ","Maastrichtian","Maastrichtian","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,25,22,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Raffi 1985 BPP",1,"EO","Raffi, Sergio, Steven M. Stanley, and Raffaella Marasti. 1985. Biogeographic patterns and Plio-Pleistocene extinction of bivalvia in the Mediterranean and Southern North Sea. Paleontological Society v. 11:368-388.","Raffi et al. 1985",1985,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Zanclean","Recent","Pliocene-Recent","Pliocene-Recent","Mediterranean and Northern Sea",,,,,,4,60,63,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"Raffi 1985 BPP",2,"EO","Raffi, Sergio, Steven M. Stanley, and Raffaella Marasti. 1985. Biogeographic patterns and Plio-Pleistocene extinction of bivalvia in the Mediterranean and Southern North Sea. Paleontological Society v. 11:368-388.","Raffi et al. 1985",1985,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range/ Eurythermal","Cosmospolitan","Zanclean","Recent","Pliocene-Recent","Pliocene-Recent","Mediterranean and Northern Sea",,,,,,59,159,63,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"Raffi 1985 BPP",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Induan","Induan","Early Triassic","Induan","global","Sepkoski's genus database ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Induan","Induan","Early Triassic","Induan","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Olenekian","Olenekian","Early Triassic","Olenekian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Olenekian","Olenekian","Early Triassic","Olenekian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Anisian","Anisian","Middle Triassic","Anisian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Anisian","Anisian","Middle Triassic","Anisian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Ladinian","Ladinian","Middle Triassic","Ladinian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Ladinian","Ladinian","Middle Triassic","Ladinian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Carnian","Carnian","Late Triassic","Carnian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Carnian","Carnian","Late Triassic","Carnian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Norian","Norian","Late Triassic","Norian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Norian","Norian","Late Triassic","Norian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,"McRoberts 2001 TBI",1,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Rhaetian","Rhaetian","Late Triassic","Rhaetian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"McRoberts 2001 TBI",2,"EO","McRoberts, Christopher A. 2001. Triassic bivalves and the initial marine Mesozoic revolution: a role for predators? Geological Society of America v. 29:359-362.","McRoberts 2001",2001,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Rhaetian","Rhaetian","Late Triassic","Rhaetian","global","Sepkoski's genus database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"graphclick",,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"Hansen 1978 LDS",1,"EO","Hansen, Thor A. 1978. Larval dispersal and species longevity in lower tertiary gastropods. Science v. 199:885-887.","Hansen 1978",1978,"PR","Mollusca","Gastropod","Volutidae","species","Larval Type","Larval Type","Nonplanktotroph","Danian","Priabonian","Paleocene-Eocene","Paleocene-Eocene","North American Gulf Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mann-Whitney U (two-tailed for large samples)",29,"2.2 my",,0.05,,,,,,
