stage,bin,bottom,top,mid,source of stage boundaries,age,packages,genera,genera_global,SIB_genera,Occurrences,Collections,del-18O,del-13C,87Sr-86Sr,del-34S,sea_level,,,,,,,,Stage,Bottom(Ma),Top(Ma),Mid(Ma),,,,,,,,,,,,,,,,,,,ICS,bottom,top,,,,,,,,,,
Bartonian,46,40.4,37.2,38.8,Gradstein 2004,38.8,142,895,1531,646,6065,289,-0.48389,2.5439,0.70775,22.271,56.328,,,,,,,21.73,Aquitanian,23.03,20.43,21.73,,3.1,3,Pliocene,3.6,2.588,,4,Zanclean-Gelasian-Pliocene,5.332,2.588,,4,Zanclean-Pliocene-Pliocene,5.332,2.588,,142.9,Berriasian,145.5,140.2,,145.5,Tithonian-Berriasian,150.8,140.2,,,,150.8,140.2
Lutetian,45,48.6,40.4,44.5,Gradstein 2004,44.5,158,681,1427,350,3213,198,-1.0291,2.8942,0.70777,22.295,62.852,,,,,,,25.715,Chattian,28.4,23.03,25.715,,3.6,4,Zanclean-Gelasian,5.332,1.806,,3.6,Zanclean-Pliocene-Zanclean-Gelasian,5.332,1.806,,3.6,Zanclean-Zanclean-Gelasian,5.332,1.806,,148.2,Tithonian,150.8,145.5,,150.6,Kimmeridgian-Tithonian,155.6,145.5,,,,155.6,145.5
Ypresian,45,55.8,48.6,52.2,Gradstein 2004,52.2,160,634,1362,358,1920,135,-1.7186,2.6243,0.70775,19.512,67.538,,,,,,,31.15,Rupelian,33.9,28.4,31.15,,4,4,Zanclean-Pliocene,5.332,2.588,,4,Zanclean-Zanclean-Pliocene,5.332,2.588,,4.9,Messinian-Pliocene-Zanclean-Pliocene,7.246,2.588,,153.2,Kimmeridgian,155.6,150.8,,156,Oxfordian-Kimmeridgian,161.2,150.8,,,,161.2,150.8
Selandian-Thanetian,44,61.7,55.8,58.75,Gradstein 2004,58.75,146,595,1222,354,1946,211,-0.97357,2.9229,0.70777,17.898,66.59,,,,,,,35.55,Priabonian,37.2,33.9,35.55,,4.5,5,Zanclean,5.332,3.6,,5.4,Messinian-Pliocene-Zanclean,7.246,3.6,,5.4,Messinian-Zanclean-Zanclean,7.246,3.6,,158.4,Oxfordian,161.2,155.6,,160.2,Callovian-Oxfordian,164.7,155.6,,,,164.7,155.6
Danian,44,65.5,61.7,63.6,Gradstein 2004,63.6,123,561,1226,329,1852,246,-0.59825,1.8397,0.70785,18.626,61.918,,,,,,,38.8,Bartonian,40.4,37.2,38.8,,4.9,5,Messinian-Pliocene,7.246,2.588,,4.9,Messinian-Zanclean-Messinian-Pliocene,7.246,2.588,,4.9,Messinian-Messinian-Pliocene,7.246,2.588,,163,Callovian,164.7,161.2,,164.5,Bathonian-Callovian,167.7,161.2,,,,167.7,161.2
Maastrichtian,43,72.1,65.5,68.8,Gradstein 2004,68.05,181,785,1335,645,18588,950,-1.2032,2.4131,0.70778,18.852,55.655,,,,,,,44.5,Lutetian,48.6,40.4,44.5,,5.4,5,Messinian-Zanclean,7.246,3.6,,5.4,Messinian-Messinian-Zanclean,7.246,3.6,,7.6,Tortonian-Zanclean-Messinian-Zanclean,11.608,3.6,,166.2,Bathonian,167.7,164.7,,168.2,Bajocian-Bathonian,171.6,164.7,,,,171.6,164.7
Campanian,42,83.6,72.1,77.85,Gradstein 2004,77.05,217,779,1341,624,5804,780,-1.5091,2.3501,0.70762,18.589,64.706,,,,,,,52.2,Ypresian,55.8,48.6,52.2,,6.3,6,Messinian,7.246,5.332,,8.5,Tortonian-Zanclean-Messinian,11.608,5.332,,8.5,Tortonian-Messinian-Messinian,11.608,5.332,,169.7,Bajocian,171.6,167.7,,171.7,Aalenian-Bajocian,175.7,167.7,,,,175.7,167.7
Santonian,41,85.8,83.5,84.65,ICS 2010,84.65,221,515,1150,198,735,209,-1.5366,2.341,0.70745,17.993,58.566,,,,,,,57.25,Thanetian,58.7,55.8,57.25,,7.6,8,Tortonian-Zanclean,11.608,3.6,,7.6,Tortonian-Messinian-Tortonian-Zanclean,11.608,3.6,,7.6,Tortonian-Tortonian-Zanclean,11.608,3.6,,173.7,Aalenian,175.7,171.6,,177.3,Toarcian-Aalenian,183,171.6,,,,183,171.6
Coniacian?,41,88.6,85.8,87.2,ICS 2010,87.55,206,491,1106,187,663,181,-1.9906,2.1917,0.70735,18.31,54.907,,,,,,,60.2,Selandian,61.7,58.7,60.2,,8.5,9,Tortonian-Messinian,11.608,5.332,,8.5,Tortonian-Tortonian-Messinian,11.608,5.332,,9.5,Serravallian-Messinian-Tortonian-Messinian,13.65,5.332,,179.4,Toarcian,183,175.7,,182.7,Pliensbachian-Toarcian,189.6,175.7,,,,189.6,175.7
Turonian?,41,93.6,88.6,91.1,ICS 2010,91.4,233,552,1145,341,1511,380,-2.1727,2.7866,0.70735,18.652,57.421,,,,,,,63.6,Danian,65.5,61.7,63.6,,9.4,9,Tortonian,11.608,7.246,,10.4,Serravallian-Messinian-Tortonian,13.65,7.246,,10.4,Serravallian-Tortonian-Tortonian,13.65,7.246,,186.3,Pliensbachian,189.6,183,,189.8,Sinemurian-Pliensbachian,196.5,183,,,,196.5,183
Cenomanian,40,99.6,93.6,96.6,ICS 2010,96.55,273,506,1134,353,3226,557,-2.511,2.4004,0.70743,18.324,69.124,,,,,,,68.8,Maastrichtian,72.1,65.5,68.8,,9.5,10,Serravallian-Messinian,13.65,5.332,,9.5,Serravallian-Tortonian-Serravallian-Messinian,13.65,5.332,,10.7,Langhian-Tortonian-Serravallian-Messinian,15.97,5.332,,193.1,Sinemurian,196.5,189.6,,194.6,Hettangian-Sinemurian,199.6,189.6,,,,199.6,189.6
Albian,39,112,99.6,105.8,ICS 2010,105.8,276,490,1069,397,2486,549,-2.4674,2.0696,0.70742,15.898,49.331,,,,,,,77.85,Campanian,83.6,72.1,77.85,,10.4,10,Serravallian-Tortonian,13.65,7.246,,11.6,Langhian-Tortonian-Serravallian-Tortonian,15.97,7.246,,10.4,Serravallian-Serravallian-Tortonian,13.65,7.246,,198.1,Hettangian,199.6,196.5,,200.1,Rhaetian-Hettangian,203.6,196.5,,,,203.6,196.5
Aptian,38,125,112,118.5,ICS 2010,118.5,204,230,902,75,162,75,0.046936,3.3294,0.7073,16.236,42.606,,,,,,,84.95,Santonian,86.3,83.6,84.95,,11.6,12,Langhian-Tortonian,15.97,7.246,,10.4,Serravallian-Langhian-Tortonian,13.65,7.246,,11.6,Langhian-Serravallian-Langhian-Tortonian,15.97,7.246,,201.6,Rhaetian,203.6,199.6,,208.1,Norian-Rhaetian,216.5,199.6,,,,216.5,199.6
Barremian,37,130,125,127.5,ICS 2010,127.5,132,205,809,31,79,30,0.07816,0.21614,0.70747,17.375,46.236,,,,,,,88.05,Coniacian,89.8,86.3,88.05,,12.6,13,Serravallian,13.65,11.608,,13.8,Langhian-Serravallian-Serravallian,15.97,11.608,,13.8,Langhian-Serravallian,15.97,11.608,,210.1,Norian,216.5,203.6,,216.2,Carnian-Norian,228.7,203.6,,,,228.7,203.6
Hauterivian?,37,133.9,130,131.95,ICS 2010,133.2,135,204,782,37,135,53,-0.10244,0.079399,0.70742,17.144,39.69,,,,,,,91.85,Turonian,93.9,89.8,91.85,,13.8,14,Langhian-Serravallian,15.97,11.608,,13.8,Langhian-Langhian-Serravallian,15.97,11.608,,16,Burdigalian-Serravallian-Langhian-Serravallian,20.43,11.608,,222.6,Carnian,228.7,216.5,,226.8,Ladinian-Carnian,237,216.5,,,,237,216.5
Valanginian?,36,140.2,133.9,137.05,ICS 2010,138.3,135,222,761,64,311,143,-0.52317,-0.81397,0.70734,16.986,39.056,,,,,,,97.2,Cenomanian,100.5,93.9,97.2,,14.8,15,Langhian,15.97,13.65,,17,Burdigalian-Serravallian-Langhian,20.43,13.65,,17,Burdigalian-Langhian-Langhian,20.43,13.65,,232.9,Ladinian,237,228.7,,237.3,Anisian-Ladinian,245.9,228.7,,,,245.9,228.7
Berriasian,36,145.5,140.2,142.85,ICS 2010,142.85,122,189,730,20,68,29,-0.52317,-0.81397,0.70729,16.637,41.411,,,,,,,106.75,Albian,113,100.5,106.75,,16,16,Burdigalian-Serravallian,20.43,11.608,,16,Burdigalian-Langhian-Burdigalian-Serravallian,20.43,11.608,,16,Burdigalian-Burdigalian-Serravallian,20.43,11.608,,241.5,Anisian,245.9,237,,243.3,Olenekian-Anisian,249.5,237,,,,249.5,237
Tithonian,35,150.8,145.5,148.15,ICS 2010,148.15,131,241,717,97,513,54,-2.1456,1.6692,0.70708,16.315,47.251,,,,,,,119,Aptian,125,113,119,,17,17,Burdigalian-Langhian,20.43,13.65,,17,Burdigalian-Burdigalian-Langhian,20.43,13.65,,18.3,Aquitanian-Langhian-Burdigalian-Langhian,23.03,13.65,,247.7,Olenekian,249.5,245.9,,248.5,Induan-Olenekian,251,245.9,,,,251,245.9
Kimmeridgian?,34,155.6,150.8,153.2,ICS 2010,153.25,113,226,705,54,126,53,-2.1456,1.6692,0.70689,15.993,49.376,,,,,,,127.2,Barremian,129.4,125,127.2,,18.2,18,Burdigalian,20.43,15.97,,19.5,Aquitanian-Langhian-Burdigalian,23.03,15.97,,19.5,Aquitanian-Burdigalian-Burdigalian,23.03,15.97,,250.3,Induan,251,249.5,,251.7,Changhsingian-Induan,253.8,249.5,,,,253.8,249.5
Oxfordian?,34,161.2,155.6,158.4,ICS 2010,158.45,164,224,713,49,106,38,-1.2196,1.8723,0.70686,16.154,41.897,,,,,,,131.15,Hauterivian,132.9,129.4,131.15,,18.3,18,Aquitanian-Langhian,23.03,13.65,,18.3,Aquitanian-Burdigalian-Aquitanian-Langhian,23.03,13.65,,18.3,Aquitanian-Aquitanian-Langhian,23.03,13.65,,252.4,Changhsingian,253.8,251,,255.7,Wuchiapingian-Changhsingian,260.4,251,,,,260.4,251
Callovian,34,164.7,161.2,162.95,ICS 2010,162.95,147,250,683,92,424,53,-1.2442,0.72484,0.70688,16.615,36.109,,,,,,,136.35,Valanginian,139.8,132.9,136.35,,19.5,20,Aquitanian-Burdigalian,23.03,15.97,,19.5,Aquitanian-Aquitanian-Burdigalian,23.03,15.97,,22.2,Chattian-Burdigalian-Aquitanian-Burdigalian,28.4,15.97,,257.1,Wuchiapingian,260.4,253.8,,259.8,Capitanian-Wuchiapingian,265.8,253.8,,,,265.8,253.8
Bathonian,33,167.7,164.7,166.2,ICS 2010,166.2,134,246,670,101,540,95,-2.3876,1.1119,0.70711,17.124,34.591,,,,,,,142.4,Berriasian,145,139.8,142.4,,21.7,22,Aquitanian,23.03,20.43,,24.4,Chattian-Burdigalian-Aquitanian,28.4,20.43,,24.4,Chattian-Aquitanian-Aquitanian,28.4,20.43,,263.1,Capitanian,265.8,260.4,,264.2,Wordian/Kazanian-Capitanian,268,260.4,,,,268,260.4
Bajocian,33,171.6,167.7,169.65,ICS 2010,169.65,129,258,648,125,664,75,-2.3876,1.1119,0.70718,17.42,35.315,,,,,,,148.55,Tithonian,152.1,145,148.55,,22.2,22,Chattian-Burdigalian,28.4,15.97,,22.2,Chattian-Aquitanian-Chattian-Burdigalian,28.4,15.97,,22.2,Chattian-Chattian-Burdigalian,28.4,15.97,,266.9,Wordian/Kazanian,268,265.8,,268.2,Roadian/Ufimian-Wordian/Kazanian,270.6,265.8,,,,270.6,265.8
Aalenian?,32,175.7,171.6,173.65,ICS 2010,173.6,94,231,622,56,168,43,-1.2017,1.6177,0.70729,17.689,27.48,,,,,,,154.7,Kimmeridgian,157.3,152.1,154.7,,24.4,24,Chattian-Aquitanian,28.4,20.43,,24.4,Chattian-Chattian-Aquitanian,28.4,20.43,,27.2,Rupelian-Aquitanian-Chattian-Aquitanian,33.9,20.43,,269.3,Roadian/Ufimian,270.6,268,,271.8,Kungurian-Roadian/Ufimian,275.6,268,,,,275.6,268
Toarcian?,32,183,175.7,179.35,ICS 2010,179.3,96,277,663,136,1236,485,-1.2017,1.6177,0.70723,17.668,28.499,,,,,,,160.4,Oxfordian,163.5,157.3,160.4,,25.7,26,Chattian,28.4,23.03,,28.5,Rupelian-Aquitanian-Chattian,33.9,23.03,,28.5,Rupelian-Chattian-Chattian,33.9,23.03,,273.1,Kungurian,275.6,270.6,,277.5,Artinskian-Kungurian,284.4,270.6,,,,284.4,270.6
Pliensbachian,31,189.6,183,186.3,ICS 2010,186.3,82,282,664,164,1661,538,-0.83032,0.40167,0.70725,17.548,25.295,,,,,,,164.8,Callovian,166.1,163.5,164.8,,27.2,27,Rupelian-Aquitanian,33.9,20.43,,27.2,Rupelian-Chattian-Rupelian-Aquitanian,33.9,20.43,,28.8,Priabonian-Chattian-Rupelian-Aquitanian,37.2,20.43,,280,Artinskian,284.4,275.6,,285.1,Sakmarian-Artinskian,294.6,275.6,,,,294.6,275.6
Sinemurian,30,196.5,189.6,193.05,ICS 2010,193.05,89,267,631,143,1732,241,0.17364,-0.95428,0.70752,17.544,10.37,,,,,,,167.2,Bathonian,168.3,166.1,167.2,,28.5,29,Rupelian-Chattian,33.9,23.03,,30.1,Priabonian-Chattian-Rupelian-Chattian,37.2,23.03,,28.5,Rupelian-Rupelian-Chattian,33.9,23.03,,289.5,Sakmarian,294.6,284.4,,291.7,Asselian-Sakmarian,299,284.4,,,,299,284.4
Hettangian,30,199.6,196.5,198.05,ICS 2010,198.05,66,247,604,109,1172,178,-1.3805,1.1712,0.70776,17.911,9.1665,,,,,,,169.3,Bajocian,170.3,168.3,169.3,,30.1,30,Priabonian-Chattian,37.2,23.03,,28.5,Rupelian-Priabonian-Chattian,33.9,23.03,,30.1,Priabonian-Rupelian-Priabonian-Chattian,37.2,23.03,,296.8,Asselian,299,294.6,,299,Gzhelian-Asselian,303.4,294.6,,,,303.4,294.6
Norian-Rhaetian,29,216.5,199.6,208.05,ICS 2010,208.05,134,468,820,384,2366,376,-1.769,1.7026,0.70786,17.993,24.566,,,,,,,172.2,Aalenian,174.1,170.3,172.2,,31.2,31,Rupelian,33.9,28.4,,32.8,Priabonian-Rupelian-Rupelian,37.2,28.4,,34.4,Bartonian-Rupelian-Rupelian,40.4,28.4,,301.2,Gzhelian,303.4,299,,303.1,Kasimovian-Gzhelian,307.2,299,,,,307.2,299
Carnian,28,228.7,216.5,222.6,ICS 2010,222.25,133,331,750,219,1070,196,-2.5599,3.0593,0.70765,19.083,32.47,,,,,,,178.4,Toarcian,182.7,174.1,178.4,,32.8,33,Priabonian-Rupelian,37.2,28.4,,34.4,Bartonian-Rupelian-Priabonian-Rupelian,40.4,28.4,,32.8,Priabonian-Priabonian-Rupelian,37.2,28.4,,305.3,Kasimovian,307.2,303.4,,307.6,Moscovian-Kasimovian,311.7,303.4,,,,311.7,303.4
Ladinian,27,237,228.7,232.85,ICS 2010,232.5,100,218,649,81,166,44,-3.7535,0.77511,0.70771,20.74,21.469,,,,,,,186.75,Pliensbachian,190.8,182.7,186.75,,34.4,34,Bartonian-Rupelian,40.4,28.4,,32.8,Priabonian-Bartonian-Rupelian,37.2,28.4,,34.4,Bartonian-Priabonian-Bartonian-Rupelian,40.4,28.4,,309.5,Moscovian,311.7,307.2,,312.7,Bashkirian-Moscovian,318.1,307.2,,,,318.1,307.2
Anisian,27,245.9,237,241.45,ICS 2010,241,84,220,637,79,448,218,-4.3096,0.83828,0.70788,21.091,16.105,,,,,,,195.05,Sinemurian,199.3,190.8,195.05,,35.6,36,Priabonian,37.2,33.9,,37.2,Bartonian-Priabonian-Priabonian,40.4,33.9,,37.2,Bartonian-Priabonian,40.4,33.9,,314.9,Bashkirian,318.1,311.7,,320,Serpukhovian-Bashkirian,328.3,311.7,,,,328.3,311.7
Induan-Olenekian?,26,251,245.9,248.45,ICS 2010,248,123,356,708,266,2044,561,-5.9799,1.562,0.70784,19.698,7.138,,,,,,,200.3,Hettangian,201.3,199.3,200.3,,37.2,37,Bartonian-Priabonian,40.4,33.9,,37.2,Bartonian-Bartonian-Priabonian,40.4,33.9,,41.3,Lutetian-Priabonian-Bartonian-Priabonian,48.6,33.9,,323.2,Serpukhovian,328.3,318.1,,331.7,Viséan-Serpukhovian,345.3,318.1,,,,345.3,318.1
Wuchiapingian-Changhsingian,25,260.4,251,255.7,ICS 2010,255.7,81,183,928,58,167,32,-3.8046,3.4807,0.70725,16.916,5.1837,,,,,,,204.9,Rhaetian,208.5,201.3,204.9,,38.8,39,Bartonian,40.4,37.2,,42.9,Lutetian-Priabonian-Bartonian,48.6,37.2,,42.9,Lutetian-Bartonian-Bartonian,48.6,37.2,,336.8,Viséan,345.3,328.3,,343.8,Tournaisian-Viséan,359.2,328.3,,,,359.2,328.3
Wordian/Kazanian-Capitanian,24,268,260.4,264.2,ICS 2010,265.5,186,749,1267,670,10636,1232,-3.4437,4.9767,0.70715,14.133,23.568,,,,,,,218.25,Norian,228,208.5,218.25,,41.3,41,Lutetian-Priabonian,48.6,33.9,,41.3,Lutetian-Bartonian-Lutetian-Priabonian,48.6,33.9,,41.3,Lutetian-Lutetian-Priabonian,48.6,33.9,,352.3,Tournaisian,359.2,345.3,,359.9,Famennian-Tournaisian,374.5,345.3,,,,374.5,345.3
Kungurian?,23,275.6,270.6,273.1,ICS 2010,275.3,216,852,1325,687,7794,932,-3.7717,4.0456,0.70708,13.168,33.257,,,,,,,231.5,Carnian,235,228,231.5,,42.9,43,Lutetian-Bartonian,48.6,37.2,,42.9,Lutetian-Lutetian-Bartonian,48.6,37.2,,46.5,Ypresian-Bartonian-Lutetian-Bartonian,55.8,37.2,,366.9,Famennian,374.5,359.2,,372.3,Frasnian-Famennian,385.3,359.2,,,,385.3,359.2
Sakmarian,22,294.6,284.4,289.5,ICS 2010,289.5,192,792,1279,617,5611,1111,-3.354,3.8823,0.70753,12.768,31.67,,,,,,,238.5,Ladinian,242,235,238.5,,44.5,45,Lutetian,48.6,40.4,,48.1,Ypresian-Bartonian-Lutetian,55.8,40.4,,48.1,Ypresian-Lutetian-Lutetian,55.8,40.4,,379.9,Frasnian,385.3,374.5,,383.2,Givetian-Frasnian,391.8,374.5,,,,391.8,374.5
Asselian?,22,299,294.6,296.8,ICS 2010,302,172,610,1079,343,3844,592,-2.4478,3.7725,0.7082,12.581,42.879,,,,,,,244.6,Anisian,247.2,242,244.6,,46.5,47,Ypresian-Bartonian,55.8,37.2,,46.5,Ypresian-Lutetian-Ypresian-Bartonian,55.8,37.2,,48,Thanetian-Lutetian-Ypresian-Bartonian,58.7,37.2,,388.6,Givetian,391.8,385.3,,391.4,Eifelian-Givetian,397.5,385.3,,,,397.5,385.3
Gzhelian?,21,303.4,299,301.2,ICS 2010,305.75,185,579,1045,241,1493,261,-2.3151,3.5477,0.7083,12.724,38.93,,,,,,,249.2,Olenekian,251.2,247.2,249.2,,48.1,48,Ypresian-Lutetian,55.8,40.4,,49.6,Thanetian-Lutetian-Ypresian-Lutetian,58.7,40.4,,48.1,Ypresian-Ypresian-Lutetian,55.8,40.4,,394.7,Eifelian,397.5,391.8,,399.4,Emsian-Eifelian,407,391.8,,,,407,391.8
Kasimovian?,21,307.2,303.4,305.3,ICS 2010,307.25,236,715,1084,477,3669,500,-2.7266,4.9648,0.70827,13.294,36.487,,,,,,,251.7,Induan,252.2,251.2,251.7,,49.6,50,Thanetian-Lutetian,58.7,40.4,,48.1,Ypresian-Thanetian-Lutetian,55.8,40.4,,49.6,Thanetian-Ypresian-Thanetian-Lutetian,58.7,40.4,,402.3,Emsian,407,397.5,,404.4,Pragian-Emsian,411.2,397.5,,,,411.2,397.5
Moscovian?,20,311.7,307.2,309.45,ICS 2010,309.85,246,601,1052,271,559,95,-2.567,4.6206,0.70829,13.678,32.252,,,,,,,253.2,Changhsingian,254.2,252.2,253.2,,52.2,52,Ypresian,55.8,48.6,,53.7,Thanetian-Ypresian-Ypresian,58.7,48.6,,55.2,Selandian-Ypresian-Ypresian,61.7,48.6,,409.1,Pragian,411.2,407,,411.5,Lochkovian-Pragian,416,407,,,,416,407
Bashkirian,20,318.1,311.7,314.9,ICS 2010,314.9,255,614,1052,353,1565,237,-2.8206,4.5016,0.70827,14.8,16.417,,,,,,,257.05,Wuchiapingian,259.9,254.2,257.05,,53.7,54,Thanetian-Ypresian,58.7,48.6,,55.2,Selandian-Ypresian-Thanetian-Ypresian,61.7,48.6,,53.7,Thanetian-Thanetian-Ypresian,58.7,48.6,,413.6,Lochkovian,416,411.2,,415,Pridoli-Lochkovian,418.7,411.2,,,,418.7,411.2
Serpukhovian?,19,328.3,318.1,323.2,ICS 2010,325.55,238,581,1012,415,2841,399,-3.8082,2.4079,0.7079,14.609,28.89,,,,,,,262.5,Capitanian,265.1,259.9,262.5,,55.2,55,Selandian-Ypresian,61.7,48.6,,53.7,Thanetian-Selandian-Ypresian,58.7,48.6,,55.2,Selandian-Thanetian-Selandian-Ypresian,61.7,48.6,,417.4,Pridoli,418.7,416,,418.7,Ludfordian-Pridoli,421.3,416,,,,421.3,416
Viséan?,18,345.3,328.3,336.8,ICS 2010,336.5,299,522,943,331,1720,291,-4.2249,3.0033,0.70778,15.848,39.432,,,,,,,266.95,Wordian/Kazanian,268.8,265.1,266.95,,57.3,57,Thanetian,58.7,55.8,,58.8,Selandian-Thanetian-Thanetian,61.7,55.8,,58.8,Selandian-Thanetian,61.7,55.8,,420,Ludfordian,421.3,418.7,,420.8,Gorstian-Ludfordian,422.9,418.7,,,,422.9,418.7
?,18,?,?,?,ICS 2010,344,301,605,1041,465,3208,356,-3.526,2.6783,0.70784,18.222,50.265,,,,,,,270.55,Roadian/Ufimian,272.3,268.8,270.55,,58.8,59,Selandian-Thanetian,61.7,55.8,,58.8,Selandian-Selandian-Thanetian,61.7,55.8,,60.7,Danian-Thanetian-Selandian-Thanetian,65.5,55.8,,422.1,Gorstian,422.9,421.3,,423.8,Homerian/Lockportian-Gorstian,426.2,421.3,,,,426.2,421.3
Tournaisian?,17,359.2,345.3,352.25,ICS 2010,353.6,277,577,1007,441,2576,353,-3.8525,2.8603,0.70817,19.902,55.22,,,,,,,275.8,Kungurian,279.3,272.3,275.8,,60.2,60,Selandian,61.7,58.7,,62.1,Danian-Thanetian-Selandian,65.5,58.7,,62.1,Danian-Selandian-Selandian,65.5,58.7,,424.6,Homerian/Lockportian,426.2,422.9,,425.6,Sheinwoodian/Tonawandan-Homerian/Lockportian,428.2,422.9,,,,428.2,422.9
Famennian,16,374.5,359.2,366.85,ICS 2010,366.85,293,427,897,240,1365,192,-5.6867,1.012,0.70825,21.423,61.209,,,,,,,284.7,Artinskian,290.1,279.3,284.7,,60.7,61,Danian-Thanetian,65.5,55.8,,60.7,Danian-Selandian-Danian-Thanetian,65.5,55.8,,60.7,Danian-Danian-Thanetian,65.5,55.8,,427.2,Sheinwoodian/Tonawandan,428.2,426.2,,431.1,Telychian/Ontarian-Sheinwoodian/Tonawandan,436,426.2,,,,436,426.2
