"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals"
85.8,89.3,"Coniacian","Late Cretaceous","Cretaceous",256.666666666667,-1.89996666666667,2.43976666666667,0.707383333333333,18.3183333333333,0.005,0.01,1.69520077448813,0.531642665886695,200,-3.72734962744616,0.818995670922451,200.666666666667,-6.14,15.64711347
89.3,93.5,"Turonian","Late Cretaceous","Cretaceous",380,-2.1727,2.7866,0.70735,18.652,0.039,0.061,1.34588235294118,0.50582959151141,459,-4.22697826086956,0.65251733051987,460,-3.659,12.6023689
93.5,99.6,"Cenomanian","Late Cretaceous","Cretaceous",495.333333333333,-2.3837,2.41886666666667,0.7074,17.6246666666667,0.056,0.071,1.91598921825948,0.811309655710203,215.333333333333,-2.71282477462056,0.867152826851108,215.666666666667,2.514,15.90837631
99.6,112,"Albian","Early Cretaceous","Cretaceous",393.666666666667,-1.64382133333333,2.5998,0.707383333333333,16.8193333333333,0.136,0.123,2.57863160854893,1.17879314629568,69.3333333333333,-1.53687549925825,1.05770343481015,70,11.703,28.62895554
112,125,"Aptian","Early Cretaceous","Cretaceous",218,-0.780768,1.87171333333333,0.707396666666667,16.503,0.091,0.076,2.12738924743782,1.15895282133732,102.666666666667,-0.991656749258246,0.959046505069748,103.333333333333,-19.793,10.54335186
125,130,"Barremian","Early Cretaceous","Cretaceous",52.6666666666667,0.007552,1.208313,0.707396666666667,16.9183333333333,0.023,0.01,1.76293721919639,1.10933540124418,80,-0.338810442544203,0.764301680293296,81,-6.725,5.910804806
130,136.4,"Hauterivian","Early Cretaceous","Cretaceous",75.3333333333333,-0.182483333333333,-0.172810333333333,0.70741,17.1683333333333,0.013,0,0.770292049842564,0.917473706039531,157.666666666667,-0.120942194849868,0.531562499928535,157.666666666667,3.63,10.84726767
136.4,140.2,"Valanginian","Early Cretaceous","Cretaceous",86,-0.52317,-0.81397,0.707315,16.8115,0.076,0.047,0.15087666304643,1.11838084948667,156,-0.389840432056699,0.730349495392396,155.5,-6.546,5.053022383
140.2,145.5,"Berriasian","Early Cretaceous","Cretaceous",75.3333333333333,-1.06398,0.0137533333333334,0.707236666666667,16.646,0.03,0.064,0.232151749723261,1.01914998650018,138.666666666667,-0.716436478513989,0.670177168247967,138.666666666667,-0.634,5.041901604
145.5,150.8,"Tithonian","Late Jurassic","Jurassic",45.3333333333333,-1.60479,0.841476666666667,0.707086666666667,16.315,0.102,0.176,0.305067958310395,1.20899604189039,71.6666666666667,-1.1117584230887,0.762235661813325,74,2.355,7.912954178
150.8,155.7,"Kimmeridgian","Late Jurassic","Jurassic",48.3333333333333,-1.83693333333333,1.7369,0.706943333333333,16.154,0.052,0.057,0.756241521528786,1.22729969034634,75.6666666666667,-1.14327151376558,0.84255484084573,78.6666666666667,5.84,14.30692339
155.7,161.2,"Oxfordian","Late Jurassic","Jurassic",45.5,-1.2319,1.29857,0.70687,16.3845,0.056,0.036,1.65629900990099,1.39704558701012,85.5,-0.596273692810458,0.950470996440548,87,2.125,16.91708704
