"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.max","BC.extinction.ratePBDB.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","Volcanism","Flood_basalt","Bolide","OA"
85.8,89.3,"Coniacian","Late Cretaceous","Cretaceous",256.666666666667,-1.89996666666667,2.43976666666667,0.707383333333333,18.3183333333333,0.005,0.01,0.005,0.01,1.69520077448813,0.531642665886695,200,-3.72734962744616,0.818995670922451,200.666666666667,-6.14,15.64711347,2.016666667,0.947959211,6,-2.26,1.626837423,6,18.165,NA,1,0.707352333,2.72e-05,9,0,0,0,0
89.3,93.5,"Turonian","Late Cretaceous","Cretaceous",380,-2.1727,2.7866,0.70735,18.652,0.039,0.061,0.039,0.061,1.34588235294118,0.50582959151141,459,-4.22697826086956,0.65251733051987,460,-3.659,12.6023689,2.93,0.196129209,4,-1.885,0.267145404,4,18.85,0.278388218,3,0.707349565,0.000111389,23,1,1,0,0
93.5,99.6,"Cenomanian","Late Cretaceous","Cretaceous",495.333333333333,-2.3837,2.41886666666667,0.7074,17.6246666666667,0.056,0.071,0.056,0.071,1.91598921825948,0.811309655710203,215.333333333333,-2.71282477462056,0.867152826851108,215.666666666667,2.514,15.90837631,2.376391304,0.909953051,46,-2.499130435,0.458276123,46,18.82714286,0.451948164,7,0.70743456,6.89e-05,25,1,1,0,1
99.6,112,"Albian","Early Cretaceous","Cretaceous",393.666666666667,-1.64382133333333,2.5998,0.707383333333333,16.8193333333333,0.136,0.123,0.136,0.123,2.57863160854893,1.17879314629568,69.3333333333333,-1.53687549925825,1.05770343481015,70,11.703,28.62895554,2.057623188,0.472684234,69,-2.479130435,0.582185889,69,15.77708333,0.663771792,12,0.707422641,5.6e-05,78,1,0,0,0
112,125,"Aptian","Early Cretaceous","Cretaceous",218,-0.780768,1.87171333333333,0.707396666666667,16.503,0.091,0.076,0.091,0.076,2.12738924743782,1.15895282133732,102.666666666667,-0.991656749258246,0.959046505069748,103.333333333333,-19.793,10.54335186,3.357142857,0.722742792,7,0.159285714,0.304089194,7,16.17928571,1.365935657,14,0.707299289,7.4e-05,21,1,1,0,1
125,130,"Barremian","Early Cretaceous","Cretaceous",52.6666666666667,0.007552,1.208313,0.707396666666667,16.9183333333333,0.023,0.01,0.023,0.01,1.76293721919639,1.10933540124418,80,-0.338810442544203,0.764301680293296,81,-6.725,5.910804806,0.011666667,1.332741035,6,0.084,0.340174661,6,17.931,2.413261279,5,0.707475433,3.02e-05,45,0,0,0,0
130,136.4,"Hauterivian","Early Cretaceous","Cretaceous",75.3333333333333,-0.182483333333333,-0.172810333333333,0.70741,17.1683333333333,0.013,0,0.013,0,0.770292049842564,0.917473706039531,157.666666666667,-0.120942194849868,0.531562499928535,157.666666666667,3.63,10.84726767,0.071363636,0.441364717,22,-0.087727273,0.358660628,22,16.79272727,1.514655676,11,0.707422829,3.13e-05,17,1,0,0,0
136.4,140.2,"Valanginian","Early Cretaceous","Cretaceous",86,-0.52317,-0.81397,0.707315,16.8115,0.076,0.047,0.076,0.047,0.15087666304643,1.11838084948667,156,-0.389840432056699,0.730349495392396,155.5,-6.546,5.053022383,-0.772,1.050878544,15,-0.498,0.39753167,15,17.9,4.424025316,6,0.70733668,7.79e-05,18,1,1,0,1
140.2,145.5,"Berriasian","Early Cretaceous","Cretaceous",75.3333333333333,-1.06398,0.0137533333333334,0.707236666666667,16.646,0.03,0.064,0.03,0.064,0.232151749723261,1.01914998650018,138.666666666667,-0.716436478513989,0.670177168247967,138.666666666667,-0.634,5.041901604,NA,NA,0,NA,NA,0,13,NA,1,0.707293751,3.17e-05,4,1,0,0,0
145.5,150.8,"Tithonian","Late Jurassic","Jurassic",45.3333333333333,-1.60479,0.841476666666667,0.707086666666667,16.315,0.102,0.176,0.102,0.176,0.305067958310395,1.20899604189039,71.6666666666667,-1.1117584230887,0.762235661813325,74,2.355,7.912954178,NA,NA,0,NA,NA,0,NA,NA,0,0.707087266,0.000128809,74,1,1,1,0
150.8,155.7,"Kimmeridgian","Late Jurassic","Jurassic",48.3333333333333,-1.83693333333333,1.7369,0.706943333333333,16.154,0.052,0.057,0.052,0.057,0.756241521528786,1.22729969034634,75.6666666666667,-1.14327151376558,0.84255484084573,78.6666666666667,5.84,14.30692339,1.36,NA,1,-2.11,NA,1,16,NA,1,0.706893779,7.37e-05,33,1,0,0,0
155.7,161.2,"Oxfordian","Late Jurassic","Jurassic",45.5,-1.2319,1.29857,0.70687,16.3845,0.056,0.036,0.056,0.036,1.65629900990099,1.39704558701012,85.5,-0.596273692810458,0.950470996440548,87,2.125,16.91708704,2.0025,1.09118819,4,-0.95745,1.1125827,4,15.4,NA,1,0.706866871,3.47e-05,31,0,0,0,0
161.2,164.7,"Callovian","Middle Jurassic","Jurassic",62,-1.61713333333333,1.23634666666667,0.70695,16.631,0.1,0.046,0.1,0.046,1.68539661884556,1.33200630657738,89.6666666666667,-0.47720266389384,1.0381975888423,91,-7.479,9.884393015,0.715384615,0.769541375,39,-1.270034872,0.542829887,39,16.075,0.330403793,4,0.706887144,0.000119673,28,0,0,0,0
164.7,167.7,"Bathonian","Middle Jurassic","Jurassic",74.3333333333333,-2.00646666666667,0.98288,0.707056666666667,17.053,0.012,0.005,0.012,0.005,1.52490696367314,1.26259219964297,85.6666666666667,-0.274417510095975,1.08379930196716,86.6666666666667,-5.788,4.443198493,1.156363636,0.876952367,11,-2.382098182,0.972786489,11,19.05,2.333452378,2,0.707096875,0.000103299,8,0,0,0,0
167.7,171.6,"Bajocian","Middle Jurassic","Jurassic",71,-1.9923,1.2805,0.707193333333333,17.411,0.013,0.005,0.013,0.005,1.06517429040582,0.988728810258885,55.3333333333333,-0.334133196370484,1.08713888032702,56,-1.518,3.152921979,NA,NA,0,NA,NA,0,17.1,1.734935157,3,0.707183083,9.76e-05,12,0,0,0,0
171.6,175.6,"Aalenian","Middle Jurassic","Jurassic",59,-1.79465,1.3648,0.707235,17.5545,0.035,0.037,0.035,0.037,0.725965517241379,0.882129342532383,34,-0.381669491525424,1.02388293366762,34.5,0.724,4.09778378,NA,NA,0,NA,NA,0,17.9,NA,1,0.707294,8.76e-06,6,0,0,0,0
175.6,183,"Toarcian","Early Jurassic","Jurassic",355.333333333333,-1.07790666666667,1.21235666666667,0.707256666666667,17.635,0.054,0.05,0.054,0.05,1.46893866931203,1.0661873521992,134.333333333333,-1.40635925290642,0.910080321447529,184,-7.835,-3.51074343,1.645882353,0.479088442,17,-1.206647059,0.794757741,17,20.73333333,3.189566324,3,0.707231703,9.12e-05,37,0,0,0,1
183,189.5,"Pliensbachian","Early Jurassic","Jurassic",511.5,-1.01601,1.009685,0.70724,17.608,0.065,0.077,0.065,0.077,1.88640800396804,1.24251935870846,196.5,-1.83803887935963,0.997492575480605,271,1.019,-2.214610279,0.420816327,1.145525419,49,-0.822222222,1.388485418,63,15.8,2.121320344,2,0.707244861,8.08e-05,72,1,1,0,1
189.5,196.5,"Sinemurian","Early Jurassic","Jurassic",319,-0.67906,0.206196666666667,0.70751,17.6676666666667,0.042,0.024,0.042,0.024,1.37698566917658,1.16490068859012,86.6666666666667,-1.49053691116775,0.837131262398768,149.666666666667,-3.204,-5.158557992,-0.97,0.321014018,9,0.205555556,0.485698237,9,14.95,1.060660172,2,0.707520903,0.000120144,62,0,0,0,0
196.5,199.6,"Hettangian","Early Jurassic","Jurassic",265,-0.991953333333333,0.63984,0.707713333333333,17.816,0.026,0.02,0.026,0.02,1.39236832803111,1.05066187715951,40.6666666666667,-1.68517228933972,0.724976180336996,53.3333333333333,-14.925,-19.91661338,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,0,0,0,1
199.6,203.6,"Rhaetian","Late Triassic","Triassic",277,-1.57475,1.4369,0.70781,17.952,0.216,0.228,0.216,0.228,1.55434959349594,0.93086365448754,26.5,-1.93350609756097,0.780355258655331,26.5,-1.2035,-21.04950855,1.641612903,0.521964857,31,-1.739032258,0.600140844,31,17.7,9.333809512,2,0.707744261,5.69e-05,22,1,1,0,0
