"Order","Bin.name","Start..Ma.","Midpt","End..Ma.","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","Volcanism","Flood_basalt","Bolide","OA","BC.extinction.rate","BC.extinction.ratePBDB","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals"
29,"Valanginian",140.2,138.3,136.4,86,-0.52317,-0.81397,0.707315,16.8115,0,0,0,0,0.076,0.047,0.15087666304643,1.11838084948667,156,-0.389840432056699,0.730349495392396,155.5,-6.546,5.053022383
30,"Berriasian",145.5,142.85,140.2,75.3333333333333,-1.06398,0.0137533333333334,0.707236666666667,16.646,0,0,0,0,0.03,0.064,0.232151749723261,1.01914998650018,138.666666666667,-0.716436478513989,0.670177168247967,138.666666666667,-0.634,5.041901604
31,"Tithonian",150.8,148.15,145.5,45.3333333333333,-1.60479,0.841476666666667,0.707086666666667,16.315,0,0,0,0,0.102,0.176,0.305067958310395,1.20899604189039,71.6666666666667,-1.1117584230887,0.762235661813325,74,2.355,7.912954178
32,"Kimmeridgian",155.7,153.25,150.8,48.3333333333333,-1.83693333333333,1.7369,0.706943333333333,16.154,0,0,0,0,0.052,0.057,0.756241521528786,1.22729969034634,75.6666666666667,-1.14327151376558,0.84255484084573,78.6666666666667,5.84,14.30692339
33,"Oxfordian",161.2,158.45,155.7,45.5,-1.2319,1.29857,0.70687,16.3845,0,0,0,0,0.056,0.036,1.65629900990099,1.39704558701012,85.5,-0.596273692810458,0.950470996440548,87,2.125,16.91708704
34,"Callovian",164.7,162.95,161.2,62,-1.61713333333333,1.23634666666667,0.70695,16.631,0,0,0,0,0.1,0.046,1.68539661884556,1.33200630657738,89.6666666666667,-0.47720266389384,1.0381975888423,91,-7.479,9.884393015
35,"Bathonian",167.7,166.2,164.7,74.3333333333333,-2.00646666666667,0.98288,0.707056666666667,17.053,0,0,0,0,0.012,0.005,1.52490696367314,1.26259219964297,85.6666666666667,-0.274417510095975,1.08379930196716,86.6666666666667,-5.788,4.443198493
36,"Bajocian",171.6,169.65,167.7,71,-1.9923,1.2805,0.707193333333333,17.411,0,0,0,0,0.013,0.005,1.06517429040582,0.988728810258885,55.3333333333333,-0.334133196370484,1.08713888032702,56,-1.518,3.152921979
37,"Aalenian",175.6,173.6,171.6,59,-1.79465,1.3648,0.707235,17.5545,0,0,0,0,0.035,0.037,0.725965517241379,0.882129342532383,34,-0.381669491525424,1.02388293366762,34.5,0.724,4.09778378
38,"Toarcian",183,179.3,175.6,355.333333333333,-1.07790666666667,1.21235666666667,0.707256666666667,17.635,0,0,0,0,0.054,0.05,1.46893866931203,1.0661873521992,134.333333333333,-1.40635925290642,0.910080321447529,184,-7.835,-3.51074343
39,"Pliensbachian",189.6,186.3,183,421.333333333333,-0.61946,0.35503,0.707333333333333,17.5866666666667,0,0,0,0,0.065,0.077,1.61374060167918,1.25843234664012,154,-1.62152747720549,0.869734391553846,216.333333333333,1.019,-2.214610279
40,"Sinemurian",196.5,193.05,189.6,319,-0.67906,0.206196666666667,0.70751,17.6676666666667,0,0,0,0,0.042,0.024,1.37698566917658,1.16490068859012,86.6666666666667,-1.49053691116775,0.837131262398768,149.666666666667,-3.204,-5.158557992
41,"Hettangian",199.6,198.05,196.5,265,-0.991953333333333,0.63984,0.707713333333333,17.816,0,0,0,0,0.026,0.02,1.39236832803111,1.05066187715951,40.6666666666667,-1.68517228933972,0.724976180336996,53.3333333333333,-14.925,-19.91661338
42,"Rhaetian",203.6,201.6,199.6,277,-1.57475,1.4369,0.70781,17.952,0,0,0,0,0.216,0.228,1.55434959349594,0.93086365448754,26.5,-1.93350609756097,0.780355258655331,26.5,-1.2035,-21.04950855
43,"Norian",216.5,210.05,203.6,286,-2.16445,2.38095,0.707755,18.538,0,0,0,0,0.136,0.105,2.57768292682927,NA,21,-1.88975609756098,NA,21,-1.2035,-21.04950855
44,"Carnian",228,222.25,216.5,286,-2.16445,2.38095,0.707755,18.538,0,0,0,0,0.153,0.073,2.57768292682927,NA,21,-1.88975609756098,NA,21,15.3995,-5.644265704
45,"Ladinian",237,232.5,228,152.666666666667,-3.541,1.55756333333333,0.707746666666667,20.3046666666667,0,0,0,0,0.153,0.073,2.41905982905983,NA,26.3333333333333,-2.84965811965812,NA,26.3333333333333,7.904,1.957543675
46,"Anisian",245,241,237,131,-4.03155,0.806695,0.707795,20.9155,0,0,0,0,0.063,0.049,1.88858974358975,0.663279783081562,39,-3.27448717948718,1.34519468002657,39,-11.001,-9.487918073
47,"Olenekian",249.7,247.35,245,389.5,-5.14475,1.20014,0.70786,20.3945,0,0,0,0,0.106,0.128,0.662564102564102,0.502103480946567,21,-5.20961538461539,1.82291843369691,21,-5.364,-15.36442961
48,"Changhsingian",255,253,251,296.5,-4.89225,2.52135,0.707545,18.307,0,0,0,0,0.297,0.3225,2.1425,0.686632638049465,16.5,-4.60166666666666,1.40231405325323,16.5,-8.967,-24.8514856
49,"Induan",251,250.5,250,296.5,-4.89225,2.52135,0.707545,18.307,0,0,0,0,0.075,0.067,2.1425,0.686632638049465,16.5,-4.60166666666666,1.40231405325323,16.5,-8.967,-24.8514856
50,"Wuchiapingian",260.5,257.15,253.8,632,-3.62415,4.2287,0.7072,15.5245,0,0,0,0,0.125,0.134,4.19070175438597,1.15835586872142,34,-2.53219298245614,1.32887670413232,34,-8.967,-24.8514856
51,"Capitanian",265,262.75,260.5,1232,-3.4437,4.9767,0.70715,14.133,0,0,0,0,0.168,0.146,4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,-1.9543,-27.48007046
52,"Wordian",268,266.5,265,1232,-3.4437,4.9767,0.70715,14.133,0,0,0,0,0.065,0.055,4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,-1.9543,-27.48007046
53,"Roadian",272.5,270.25,268,1082,-3.6077,4.51115,0.707115,13.6505,0,0,0,0,0.06,0.056,4.83884163533834,1.26710015336273,75,-1.74916267942584,1.68473885022372,74,18.3843,-10.10883492
54,"Kungurian",279.5,276,272.5,932,-3.7717,4.0456,0.70708,13.168,0,0,0,0,0.06,0.029,4.99794642857143,1.22959829256071,112,-1.23727272727273,1.50349373499725,110,18.3843,-10.10883492
55,"Artinskian",284,281.75,279.5,1111,-3.354,3.8823,0.70753,12.768,0,0,0,0,0.018,0.023,4.46261194029851,1.22928485176287,134,-2.17820895522388,1.03607766041713,134,9.689,-1.606369158
56,"Sakmarian",290,287,284,1111,-3.354,3.8823,0.70753,12.768,0,0,0,0,0.024,0.008,4.46261194029851,1.22928485176287,134,-2.17820895522388,1.03607766041713,134,9.689,-1.606369158
57,"Asselian",299,294.5,290,654.666666666667,-2.70563333333333,3.73416666666667,0.70801,12.691,0,0,0,0,0.013,0.01,4.50676027240507,1.05996997419193,125,-2.20296586208342,0.960708011335196,125,-1.587,-5.220413683
58,"Gzhelian",305,302,299,451,-2.4965,4.095,0.708256666666667,12.8663333333333,0,0,0,0,0.015,0.02,4.36063585334809,1.0228662106079,242.333333333333,-2.28593599086339,0.884645600276819,242.333333333333,-1.587,-5.220413683
59,"Kasimovian",306,305.5,305,500,-2.7266,4.9648,0.70827,13.294,0,0,0,0,0.022,0,4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,11.209,3.902802455
60,"Moscovian",312,309,306,277.333333333333,-2.70473333333333,4.69566666666667,0.708276666666667,13.924,0,0,0,0,0.009,0.011,4.66676665781672,1.20079715872447,253.333333333333,-2.68407140607471,1.11505413118177,254.333333333333,-3.949,-0.7269661
61,"Bashkirian",318.1,315.05,312,318,-3.3144,3.45475,0.708085,14.7045,0,0,0,0,0.009,0.011,3.97507138590203,1.50323566742954,264.5,-2.45611298248395,1.61893533159492,265.5,-4.235,-8.178339719
62,"Serpukhovian",327.05,322.575,318.1,318,-3.3144,3.45475,0.708085,14.7045,0,0,0,0,0.061,0.058,3.97507138590203,1.50323566742954,264.5,-2.45611298248395,1.61893533159492,265.5,-15.835,-25.00764022
63,"Visean",345.3,336.175,327.05,347.666666666667,-3.96186666666667,2.75716666666667,0.70795,16.7863333333333,0,0,0,0,0.044,0.043,2.82435223768814,1.70511144198167,319.333333333333,-3.38565981702162,1.97027314567637,319.666666666667,12.473,-14.78253624
64,"Tournaisian",360.7,353,345.3,278.666666666667,-4.58803333333333,2.29186666666667,0.708066666666667,19.0576666666667,0,0,0,0,0.044,0.043,2.11811355456057,1.45488957525596,211.333333333333,-4.59015279484793,1.92028218863645,211,10.833,2.213344958
65,"Famennian",376.1,368.4,360.7,345.5,-5.83595,0.91718,0.70818,21.727,0,0,0,0,0.133,0.078,0.836444444444444,1.14392127206921,243,-5.72325925925926,1.30661773812008,243,4.955,4.646589036
66,"Frasnian",383.7,379.9,376.1,499,-5.9852,0.82236,0.70811,22.031,0,0,0,0,0.12,0.086,0.734123456790123,1.1784210927548,405,-5.39355555555556,1.30502539712019,405,5.989,6.881612004
67,"Givetian",388.1,385.9,383.7,658.5,-5.56565,0.866015,0.70798,21.343,0,0,0,0,0.294,0.156,1.31845957785743,0.993029520558119,249,-4.45387455197133,1.26865088295714,249,15.472,18.34633714
68,"Eifelian",391.9,390,388.1,548,-4.546,0.90365,0.70788,20.171,0,0,0,0,0.103,0.076,1.26402342023862,0.796889195145359,156,-4.27643467373693,1.45357030952674,156,15.472,18.34633714
69,"Emsian",409.1,400.5,391.9,158.666666666667,-5.0841,0.900546666666667,0.708113333333333,19.8756666666667,0,0,0,0,0.165,0.094,0.811016486960081,0.705492882852285,107.666666666667,-4.50689753526982,1.52411959342811,107.666666666667,0.017,15.53765544
70,"Pragian",412.3,410.7,409.1,178.5,-5.58225,1.84255,0.708605,22.5305,0,0,0,0,0.129,0.05,1.65748910675382,0.708735494710262,30.5,-5.52372004357298,1.38762067167422,30.5,2.043,-4.233301758
71,"Lochkovian",418.1,415.2,412.3,234.5,-5.6557,1.31157,0.70872,24.714,0,0,0,0,0.108,0.166,2.06101851851852,0.99561270217631,27.5,-5.43396164021164,1.28390234330839,27.5,2.043,-4.233301758
72,"Pridolian",418.7,418.4,418.1,220.5,-5.19445,1.47682,0.708695,26.0055,0,0,0,0,0.107,0.172,1.38816666666667,1.27277980211706,29,-4.7908405923345,0.895748040306794,34.5,5.558,3.705544738
73,"Ludfordian",421.3,420,418.7,220.5,-5.19445,1.47682,0.708695,26.0055,0,0,0,0,0.147,0.175,1.38816666666667,1.27277980211706,29,-4.7908405923345,0.895748040306794,34.5,5.558,3.705544738
74,"Gorstian",422.9,422.1,421.3,369,-4.75235,2.1322,0.70853,26.8505,0,0,0,0,0.097,0.136,1.34569250645995,2.04196655270018,208.5,-5.16527257830718,1.09960104852484,214,5.475,7.836371877
75,"Homerian",426.2,424.55,422.9,369,-4.75235,2.1322,0.70853,26.8505,0,0,0,0,0.016,0.044,1.34569250645995,2.04196655270018,208.5,-5.16527257830718,1.09960104852484,214,5.475,7.836371877
76,"Sheinwoodian",428.2,427.2,426.2,344,-4.9376,1.4922,0.70832,27.4355,0,0,0,0,0.044,0.027,2.00705434856521,2.20198333686462,421.5,-4.77696331429349,0.931385128573456,421.5,6.614,12.56452288
77,"Telychian",436,432.1,428.2,281.333333333333,-4.7116,1.4372,0.708236666666667,27.808,0,0,0,0,0.101,0.129,1.72990289904347,1.69046252680136,289.333333333333,-4.81730887619566,0.801882796524403,289.333333333333,6.614,12.56452288
78,"Aeronian",439,437.5,436,159.666666666667,-4.6057,1.18973333333333,0.708113333333333,27.6576666666667,0,0,0,0,0.011,0,1.33128567251462,1.21493842112951,177,-4.62226374269006,0.608712229442566,177,-4.002,5.895192522
79,"Rhuddanian",443.7,441.35,439,402.666666666667,-4.18543333333333,1.3679,0.70801,26.691,0,0,0,0,0.012,0,1.43585490196078,1.3206588552914,81.6666666666667,-4.34199215686275,0.788126627871636,81.6666666666667,-5.882,-2.244105753
80,"Hirnantian",445.6,444.65,443.7,588.333333333333,-4.4753,0.981683333333333,0.707953333333333,25.318,0,0,0,0,0.058,0.036,1.06094572970128,1.34981770738471,123,-4.39790657127716,0.86105883343104,122.666666666667,-6.401,-10.2866379
81,"Katian",455.8,450.7,445.6,649.666666666667,-4.73226666666667,0.644838333333333,0.707966666666667,24.6316666666667,0,0,0,0,0.245,0.057,0.457601285256831,1.13762041042029,110.333333333333,-4.72019546016605,0.906573951867114,110,-6.401,-10.2866379
82,"Sandblian",460.5,458.15,455.8,498,-5.09985,0.0577575,0.707985,24.4555,0,0,0,0,0.12,0.363,-0.317480425055928,0.606968569531977,80.5,-5.13620495495496,0.752958648365301,80,16.434,8.976252217
83,"Darriwilian",468.1,464.3,460.5,232,-5.87865,-0.54939375,0.7083475,25.5465,0,0,0,0,0.164,0.095,-0.857045985060692,0.705311494306492,34,-6.41907796451914,0.906716940116668,34,-1.526,6.655730607
84,"Dapingian",471.8,469.95,468.1,346,-7.0254,-0.86507,0.70869,26.9916666666667,0,0,0,0,0.031,0,-1.01390495941967,0.769578758663924,43,-7.62215488759607,1.05131225761514,43,-7.414,-11.65573403
85,"Floian",479,475.4,471.8,409.666666666667,-8.2291,-1.2124,0.70887,28.2923333333333,0,0,0,0,0.041,0,-1.30743437118437,0.733208311921534,37.3333333333333,-8.46372351504705,0.984769552729704,37.3333333333333,-7.414,-11.65573403
86,"Tremadocian",490,484.5,479,187.5,-9.554,-1.4277,0.709055,30.587,0,0,0,0,NA,NA,-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,-7.414,-11.65573403
